股票代號,股票名稱,日期,開盤價,最高價,最低價,收盤價,漲跌,漲幅(%),振幅(%),成交量,成交筆數,成交金額(千),均張,成交量變動(%),均張變動(%),股本(百萬),總市值(億),市值比重(%),本益比,股價淨值比,本益比(近四季),週轉率(%),成交值比重(%),漲跌停,成交量(股)
1568,倉佑,20190524,19.5,19.75,19.4,19.55,0.2,1.03,1.81,43,33,840,1.3,-43.42,0,1031,20.2,0.007,24.6,1.24,41,0.04,0.001,0,43000
1569,濱川,20190524,16.65,16.75,16.45,16.65,0,0,1.8,166,96,2753,1.7,-13.54,13.33,1127,18.8,0.063,41.7,0.7,39.1,0.15,0.009,0,166000
1570,力肯,20190524,13.35,13.4,13.3,13.4,0.05,0.37,0.75,20,9,266,2.2,-9.09,83.33,515,6.9,0.023,9.6,0.93,8.3,0.04,0.001,0,20000
1580,新麥,20190524,118,119.5,118,119.5,1.5,1.27,1.27,18,18,2149,1,-40,11.11,502,60,0.2,12.4,2.76,12,0.04,0.007,0,18035
1582,信錦,20190524,80,80.2,79.6,80,0.2,0.25,0.75,199,184,15909,1.1,15.03,-8.33,1237,99,0.032,11.6,1.7,10.2,0.16,0.015,0,199250
1583,程泰,20190524,57,57,56.6,56.7,-0.2,-0.35,0.7,19,9,1087,2.1,111.11,90.91,1104,62.6,0.02,11.3,1.35,9.8,0.02,0.001,0,19133
1584,精剛,20190524,8.3,8.36,8.3,8.32,0.05,0.6,0.73,29,16,242,1.8,52.63,12.5,825,6.9,0.023,,0.76,,0.04,0.001,0,29001
1586,和勤,20190524,33.1,33.15,32.9,33,-0.05,-0.15,0.76,25,18,826,1.4,-91.96,-58.82,765,25.2,0.084,81.4,1.76,47.8,0.03,0.003,0,25032
1587,吉茂,20190524,19,19,18.9,18.9,-0.2,-1.05,0.52,38,18,737,2.1,-73.05,-58,660,12.5,0.004,23.5,1.01,23.9,0.06,0.001,0,38890
1589,永冠-KY,20190524,56.5,57.5,55,55.4,-1.1,-1.95,4.42,1573,1161,87941,1.4,-25.06,0,1056,58.5,0.019,12.8,0.73,,1.5,0.085,0,1573300
1590,亞德客-KY,20190524,321.5,324.5,312,315,-4.5,-1.41,3.91,1931,1700,611199,1.1,-14.18,0,1890,595.4,0.192,19.5,3.27,22.5,1.03,0.593,0,1931080
1591,駿吉-KY,20190524,34.95,35.5,34.95,35.5,0.55,1.57,1.57,13,11,459,1.2,-80.6,-25,332,11.8,0.039,14.2,2.65,20.1,0.04,0.001,0,13000
1592,英瑞-KY,20190524,21.35,21.65,21.15,21.65,0.45,2.12,2.36,71,52,1520,1.4,-82.64,0,990,21.4,0.007,,0.86,,0.07,0.001,0,71000
1593,祺驊,20190524,55.1,56.3,54.3,54.4,0.7,1.3,3.72,693,506,38177,1.4,272.58,-12.5,319,17.4,0.058,13.1,1.89,12.7,2.19,0.12,0,693193
